hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_nights,total_revenue,total_guests,room_match,arrival_date,arrival_yearmon
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,2015-06-23,4,492.0,2,1,2015-07-01,2015-07
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,145.0,0,0,Check-Out,2015-07-05,4,580.0,2,1,2015-07-01,2015-07
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,388.0,2,0,2015-07-01,2015-07
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,0,0,Transient,154.77,0,1,Check-Out,2015-07-05,4,619.08,3,1,2015-07-01,2015-07
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,94.71,0,0,Check-Out,2015-07-05,4,378.84,2,1,2015-07-01,2015-07
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,388.0,2,0,2015-07-01,2015-07
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,0,0,Contract,97.5,0,0,Check-Out,2015-07-05,4,390.0,2,1,2015-07-01,2015-07
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,0,0,Transient,88.2,0,0,Check-Out,2015-07-02,1,88.2,2,0,2015-07-01,2015-07
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,110,0,Transient,107.42,0,0,Check-Out,2015-07-02,1,107.42,2,0,2015-07-01,2015-07
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,0,0,Transient,153.0,0,1,Check-Out,2015-07-05,4,612.0,2,1,2015-07-01,2015-07
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,0,0,Transient,97.29,0,1,Check-Out,2015-07-06,5,486.45000000000005,1,1,2015-07-01,2015-07
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,0,0,Transient,84.67,0,1,Check-Out,2015-07-07,6,508.02,2,1,2015-07-01,2015-07
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,0,0,Transient,84.67,0,1,Check-Out,2015-07-07,6,508.02,2,1,2015-07-01,2015-07
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient,99.67,0,1,Check-Out,2015-07-07,6,598.02,2,1,2015-07-01,2015-07
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,0,0,Contract,94.95,0,1,Check-Out,2015-07-01,7,664.65,2,0,2015-07-01,2015-07
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,63.6,1,0,Check-Out,2015-07-08,7,445.2,2,1,2015-07-01,2015-07
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-08,7,556.5,2,1,2015-07-01,2015-07
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,107.0,0,2,Canceled,2015-05-11,7,749.0,2,1,2015-07-01,2015-07
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,94.0,0,0,Check-Out,2015-07-08,7,658.0,2,1,2015-07-01,2015-07
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,87.3,1,1,Check-Out,2015-07-08,7,611.1,2,1,2015-07-01,2015-07
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,Unknown,Direct,Direct,0,0,0,A,A,2,No Deposit,0,0,0,Transient,62.0,0,2,Check-Out,2015-07-15,14,868.0,1,1,2015-07-01,2015-07
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,63.86,0,0,Check-Out,2015-07-16,15,957.9,2,1,2015-07-01,2015-07
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,0,0,Transient,108.3,0,2,Canceled,2015-05-29,10,1083.0,2,1,2015-07-01,2015-07
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,0,0,Transient,65.5,0,0,Check-Out,2015-07-08,6,393.0,2,0,2015-07-02,2015-07
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-05-19,4,435.2,3,1,2015-07-02,2015-07
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-06-19,4,435.2,3,1,2015-07-02,2015-07
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,0,0,Check-Out,2015-07-06,4,392.0,2,0,2015-07-02,2015-07
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Check-Out,2015-07-06,4,435.2,3,1,2015-07-02,2015-07
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,0,Canceled,2015-05-23,4,435.2,3,1,2015-07-02,2015-07
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,137.0,0,1,Check-Out,2015-07-07,5,685.0,2,1,2015-07-02,2015-07
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Canceled,2015-05-18,5,589.05,2,1,2015-07-02,2015-07
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-07,5,397.5,2,1,2015-07-02,2015-07
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-07,5,615.0,2,1,2015-07-02,2015-07
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,137.0,0,1,Check-Out,2015-07-07,5,685.0,2,1,2015-07-02,2015-07
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,2,Check-Out,2015-07-09,7,774.9,2,1,2015-07-02,2015-07
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,0,Transient,153.0,0,0,Canceled,2015-06-02,7,1071.0,4,1,2015-07-02,2015-07
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,2015-07-09,7,412.65000000000003,2,1,2015-07-02,2015-07
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,7,580.16,2,1,2015-07-02,2015-07
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,0,0,Contract,82.35,0,0,Check-Out,2015-07-09,7,576.4499999999999,2,0,2015-07-02,2015-07
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,0,0,Transient,119.35,0,1,Check-Out,2015-07-09,7,835.4499999999999,2,0,2015-07-02,2015-07
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,7,473.06,2,1,2015-07-02,2015-07
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,0,0,Contract,56.01,0,0,Check-Out,2015-07-13,11,616.11,2,1,2015-07-02,2015-07
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,0,0,Contract,110.7,0,0,Check-Out,2015-07-16,14,1549.8,2,1,2015-07-02,2015-07
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,88.2,1,0,Check-Out,2015-07-03,1,88.2,2,0,2015-07-02,2015-07
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,147.0,1,0,Check-Out,2015-07-03,1,147.0,2,1,2015-07-02,2015-07
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient,107.0,1,2,Check-Out,2015-07-03,1,107.0,4,1,2015-07-02,2015-07
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,0,0,Transient,147.0,0,0,Check-Out,2015-07-03,1,147.0,2,1,2015-07-02,2015-07
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,0,0,Transient,117.9,0,2,Check-Out,2015-07-03,1,117.9,2,0,2015-07-02,2015-07
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-03,1,123.0,2,1,2015-07-02,2015-07
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,0,0,Transient,98.0,0,1,Check-Out,2015-07-04,2,196.0,2,0,2015-07-02,2015-07
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Check-Out,2015-07-04,2,235.62,2,1,2015-07-02,2015-07
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,135.0,1,2,Check-Out,2015-07-04,2,270.0,2,1,2015-07-02,2015-07
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,0,0,Transient,133.0,0,1,Check-Out,2015-07-05,3,399.0,2,1,2015-07-02,2015-07
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,0,0,Contract,58.95,0,0,Check-Out,2015-07-05,3,176.85000000000002,2,0,2015-07-02,2015-07
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,136.33,0,2,Canceled,2015-06-29,3,408.99,2,1,2015-07-02,2015-07
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,0,0,Transient,153.0,1,0,Check-Out,2015-07-05,2,306.0,4,0,2015-07-03,2015-07
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,110.5,0,0,Check-Out,2015-07-05,2,221.0,2,0,2015-07-03,2015-07
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,0,Transient,97.0,0,0,Check-Out,2015-07-05,2,194.0,2,1,2015-07-03,2015-07
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,2,Canceled,2015-06-16,2,220.6,3,1,2015-07-03,2015-07
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,82.0,0,2,Canceled,2015-06-18,2,164.0,2,1,2015-07-03,2015-07
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,1,Canceled,2015-07-03,2,194.0,2,1,2015-07-03,2015-07
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,2015-06-12,2,147.6,2,1,2015-07-03,2015-07
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,0,0,Transient,91.5,0,0,Check-Out,2015-07-05,2,183.0,2,1,2015-07-03,2015-07
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,114.5,0,0,Check-Out,2015-07-05,2,229.0,2,1,2015-07-03,2015-07
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,0,Canceled,2015-06-09,2,220.6,3,1,2015-07-03,2015-07
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,90.9,1,0,Check-Out,2015-07-06,3,272.70000000000005,2,1,2015-07-03,2015-07
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,2015-05-26,3,369.0,2,1,2015-07-03,2015-07
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,122.0,0,0,Check-Out,2015-07-07,4,488.0,1,1,2015-07-03,2015-07
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,0,0,Transient,110.7,1,0,Check-Out,2015-07-07,4,442.8,2,1,2015-07-03,2015-07
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,85.86,0,0,Check-Out,2015-07-11,8,686.88,3,1,2015-07-03,2015-07
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,58.95,0,0,Check-Out,2015-07-12,9,530.5500000000001,2,1,2015-07-03,2015-07
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Canceled,2015-05-19,10,556.8,2,1,2015-07-03,2015-07
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Check-Out,2015-07-13,10,556.8,2,1,2015-07-03,2015-07
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,0,0,Transient,124.0,0,1,Canceled,2015-06-09,10,1240.0,2,1,2015-07-03,2015-07
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,0,0,Contract,111.15,0,0,Check-Out,2015-07-13,10,1111.5,2,1,2015-07-03,2015-07
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,0,Contract,134.73,0,0,Check-Out,2015-07-17,14,1886.2199999999998,2,1,2015-07-03,2015-07
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,0,0,Transient,92.45,0,1,Check-Out,2015-07-17,14,1294.3,2,1,2015-07-03,2015-07
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,108.73,0,2,Canceled,2015-04-15,21,2283.33,3,1,2015-07-03,2015-07
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,73.8,0,0,Check-Out,2015-07-04,1,73.8,2,0,2015-07-03,2015-07
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,1,2,Check-Out,2015-07-04,1,98.0,2,0,2015-07-03,2015-07
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,131.0,0,1,Check-Out,2015-07-04,1,131.0,2,0,2015-07-03,2015-07
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Check-Out,2015-07-04,1,123.0,2,1,2015-07-03,2015-07
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,0,0,Transient,94.71,0,0,Check-Out,2015-07-04,1,94.71,2,1,2015-07-03,2015-07
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,2,Check-Out,2015-07-04,1,123.0,2,1,2015-07-03,2015-07
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,123.0,0,1,Canceled,2015-05-26,2,246.0,2,1,2015-07-03,2015-07
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,2015-06-29,2,147.6,2,1,2015-07-03,2015-07
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,0,0,Transient,117.0,0,1,Canceled,2015-05-13,7,819.0,2,1,2015-07-03,2015-07
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,0,0,Transient,196.54,0,1,Check-Out,2015-07-10,7,1375.78,3,1,2015-07-03,2015-07
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,99.3,1,2,Check-Out,2015-07-10,7,695.1,3,1,2015-07-03,2015-07
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,90.95,0,0,Check-Out,2015-07-10,7,636.65,2,1,2015-07-03,2015-07
Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,0,0,Transient,92.67,0,1,Check-Out,2015-07-07,3,278.01,2,0,2015-07-04,2015-07
Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Transient,71.55,1,0,Check-Out,2015-07-07,3,214.64999999999998,2,1,2015-07-04,2015-07
Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,0,0,Transient,96.49,0,2,Check-Out,2015-07-10,6,578.9399999999999,3,1,2015-07-04,2015-07
Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,85.8,1,2,Check-Out,2015-07-10,6,514.8,2,0,2015-07-04,2015-07
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,96.3,0,1,Check-Out,2015-07-11,7,674.1,2,1,2015-07-04,2015-07
Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,163.0,0,0,Canceled,2015-06-09,7,1141.0,4,1,2015-07-04,2015-07
Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,0,Transient,172.0,0,1,Canceled,2015-05-20,7,1204.0,3,1,2015-07-04,2015-07
Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,1,Canceled,2015-04-22,7,774.9,2,1,2015-07-04,2015-07
Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,2015-07-11,7,412.65000000000003,2,1,2015-07-04,2015-07
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,2,Check-Out,2015-07-11,7,516.6,3,1,2015-07-04,2015-07
Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,2,Check-Out,2015-07-11,7,679.0,2,1,2015-07-04,2015-07
